Date,Region,New_Cases,Hospitalizations,Deaths,Temperature_Avg_C,Humidity_Avg_Percent,Population_Density
2023-01-08,Eastborough,,2.0,0.0,16.39,80.9,2200
2023-01-08,Westridge,35.0,1.0,0.0,16.07,82.85,1200
2023-01-09,Northwood,26.0,0.0,0.0,20.3,76.93,1500
2023-01-09,Southcreek,40.0,3.0,0.0,14.1,76.92,800
2023-01-09,Eastborough,48.0,2.0,0.0,16.59,81.5,2200
2023-01-09,Westridge,43.0,1.0,0.0,18.86,83.84,1200
2023-01-10,Northwood,25.0,1.0,0.0,21.42,81.92,1500
2023-01-10,Southcreek,25.0,1.0,0.0,8.82,72.81,800
2023-01-10,Eastborough,46.0,1.0,0.0,14.71,81.47,2200
2023-01-10,Westridge,44.0,1.0,0.0,17.16,79.92,1200
2023-01-11,Northwood,39.0,1.0,0.0,22.25,90.77,1500
2023-01-11,Southcreek,27.0,1.0,0.0,12.57,89.2,800
2023-01-11,Eastborough,28.0,2.0,0.0,20.55,85.72,2200
2023-01-11,Westridge,38.0,1.0,0.0,16.89,80.06,1200
2023-01-12,Northwood,,1.0,0.0,23.08,72.12,1500
2023-01-12,Southcreek,41.0,2.0,0.0,11.55,84.65,800
2023-01-12,Eastborough,30.0,1.0,0.0,18.42,85.08,2200
2023-01-12,Westridge,32.0,1.0,0.0,20.31,72.89,1200
2023-01-13,Northwood,28.0,0.0,0.0,23.56,81.58,1500
2023-01-13,Southcreek,34.0,2.0,0.0,11.16,75.79,800
2023-01-13,Eastborough,22.0,1.0,0.0,14.82,76.25,2200
2023-01-13,Westridge,34.0,1.0,0.0,16.67,68.24,1200
2023-01-14,Northwood,49.0,2.0,0.0,20.48,75.93,1500
2023-01-14,Southcreek,44.0,3.0,0.0,12.54,75.4,800
2023-01-14,Eastborough,30.0,1.0,0.0,14.62,72.72,2200
2023-01-14,Westridge,28.0,1.0,0.0,17.48,75.56,1200
2023-01-15,Northwood,37.0,2.0,0.0,20.6,71.32,1500
2023-01-15,Southcreek,38.0,2.0,0.0,13.07,75.15,800
2023-01-15,Eastborough,33.0,1.0,0.0,16.78,84.7,2200
2023-01-15,Westridge,33.0,1.0,0.0,18.71,78.65,1200
2023-01-16,Northwood,40.0,2.0,0.0,22.41,81.31,1500
2023-01-16,Southcreek,24.0,1.0,0.0,14.46,77.99,800
2023-01-16,Eastborough,23.0,1.0,0.0,17.02,81.26,2200
2023-01-16,Westridge,39.0,1.0,0.0,14.76,85.34,1200
2023-01-17,Northwood,33.0,1.0,0.0,23.38,83.73,1500
2023-01-17,Southcreek,22.0,1.0,0.0,14.4,74.96,800
2023-01-17,Eastborough,36.0,1.0,0.0,15.4,70.68,2200
2023-01-17,Westridge,38.0,1.0,0.0,18.1,83.2,1200
2023-01-18,Northwood,45.0,3.0,0.0,22.03,74.58,1500
2023-01-18,Southcreek,36.0,2.0,0.0,12.73,77.39,800
2023-01-18,Eastborough,40.0,1.0,0.0,18.2,77.84,2200
2023-01-18,Westridge,34.0,1.0,0.0,17.59,83.0,1200
2023-01-19,Northwood,42.0,1.0,0.0,23.33,80.46,1500
2023-01-19,Southcreek,32.0,2.0,0.0,7.91,84.93,800
2023-01-19,Eastborough,21.0,1.0,0.0,16.66,84.15,2200
2023-01-19,Westridge,42.0,2.0,0.0,17.73,77.6,1200
2023-01-20,Northwood,43.0,1.0,0.0,22.76,81.04,1500
2023-01-20,Southcreek,32.0,1.0,0.0,10.26,82.44,800
2023-01-20,Eastborough,49.0,3.0,0.0,20.58,77.6,2200
2023-01-20,Westridge,34.0,1.0,0.0,18.41,81.15,1200
2023-01-21,Northwood,42.0,1.0,0.0,24.48,80.63,1500
2023-01-21,Southcreek,39.0,2.0,0.0,14.57,75.72,800
2023-01-21,Eastborough,21.0,1.0,0.0,15.83,74.61,2200
2023-01-21,Westridge,51.0,2.0,0.0,20.84,75.84,1200
2023-01-22,Northwood,29.0,1.0,0.0,27.32,82.45,1500
2023-01-22,Southcreek,35.0,2.0,0.0,13.55,82.39,800
2023-01-22,Eastborough,40.0,2.0,0.0,20.86,78.94,2200
2023-01-22,Westridge,27.0,2.0,0.0,16.54,84.56,1200
2023-01-23,Northwood,38.0,1.0,0.0,22.93,80.34,1500
2023-01-23,Southcreek,21.0,1.0,0.0,15.92,71.8,800
2023-01-23,Eastborough,35.0,2.0,0.0,20.99,76.64,2200
2023-01-23,Westridge,46.0,2.0,0.0,18.02,77.82,1200
2023-01-24,Northwood,29.0,1.0,0.0,24.48,84.08,1500
2023-01-24,Southcreek,41.0,3.0,0.0,14.35,81.62,800
2023-01-24,Eastborough,28.0,1.0,0.0,17.9,86.26,2200
2023-01-24,Westridge,39.0,1.0,0.0,22.11,88.14,1200
2023-01-25,Northwood,34.0,1.0,0.0,22.58,78.92,1500
2023-01-25,Southcreek,40.0,2.0,0.0,19.23,76.43,800
2023-01-25,Eastborough,50.0,3.0,0.0,21.39,83.19,2200
2023-01-25,Westridge,41.0,1.0,0.0,18.84,79.82,1200
2023-01-26,Northwood,28.0,0.0,0.0,26.88,79.97,1500
2023-01-26,Southcreek,38.0,2.0,0.0,14.83,86.9,800
2023-01-26,Eastborough,51.0,1.0,0.0,17.27,84.99,2200
2023-01-26,Westridge,33.0,1.0,0.0,22.46,78.69,1200
2023-01-27,Northwood,38.0,2.0,0.0,23.48,80.16,1500
2023-01-27,Southcreek,43.0,2.0,0.0,18.18,73.59,800
2023-01-27,Eastborough,34.0,2.0,0.0,22.37,80.65,2200
2023-01-27,Westridge,34.0,2.0,0.0,19.3,86.14,1200
2023-01-28,Northwood,43.0,1.0,0.0,23.27,76.63,1500
2023-01-28,Southcreek,54.0,2.0,0.0,14.63,73.07,800
2023-01-28,Eastborough,38.0,1.0,0.0,15.55,73.85,2200
2023-01-28,Westridge,38.0,1.0,0.0,22.43,83.48,1200
2023-01-29,Northwood,44.0,2.0,0.0,23.41,75.52,1500
2023-01-29,Southcreek,31.0,1.0,0.0,18.24,80.96,800
2023-01-29,Eastborough,22.0,1.0,0.0,16.45,76.36,2200
2023-01-29,Westridge,46.0,2.0,0.0,21.94,78.59,1200
2023-01-30,Northwood,44.0,2.0,0.0,27.7,81.17,1500
2023-01-30,Southcreek,46.0,3.0,0.0,16.02,76.84,800
2023-01-30,Eastborough,31.0,2.0,0.0,22.26,78.46,2200
2023-01-30,Westridge,29.0,1.0,0.0,16.82,76.56,1200
2023-01-31,Northwood,29.0,2.0,0.0,29.24,83.76,1500
2023-01-31,Southcreek,30.0,1.0,0.0,16.55,78.21,800
2023-01-31,Eastborough,26.0,1.0,0.0,20.78,89.05,2200
2023-01-31,Westridge,27.0,1.0,0.0,18.84,88.18,1200
2023-02-01,Northwood,60.0,4.0,0.0,25.12,84.05,1500
2023-02-01,Southcreek,35.0,1.0,0.0,15.11,80.16,800
2023-02-01,Eastborough,47.0,3.0,0.0,17.78,77.03,2200
2023-02-01,Westridge,45.0,2.0,0.0,23.42,74.29,1200
2023-02-02,Northwood,38.0,2.0,0.0,27.4,83.34,1500
2023-02-02,Southcreek,31.0,1.0,0.0,18.15,81.25,800
2023-02-02,Eastborough,52.0,2.0,0.0,20.94,74.66,2200
2023-02-02,Westridge,30.0,2.0,0.0,22.22,70.58,1200
2023-02-03,Northwood,38.0,1.0,0.0,23.59,75.33,1500
2023-02-03,Southcreek,49.0,3.0,0.0,15.77,76.19,800
2023-02-03,Eastborough,30.0,2.0,0.0,24.02,72.12,2200
2023-02-03,Westridge,39.0,2.0,0.0,18.85,89.06,1200
2023-02-04,Northwood,32.0,1.0,0.0,25.37,75.45,1500
2023-02-04,Southcreek,32.0,1.0,0.0,16.8,86.38,800
2023-02-04,Eastborough,24.0,0.0,0.0,18.22,79.41,2200
2023-02-04,Westridge,31.0,1.0,0.0,24.01,80.33,1200
2023-02-05,Northwood,30.0,1.0,0.0,22.98,74.46,1500
2023-02-05,Southcreek,46.0,3.0,0.0,18.23,78.85,800
2023-02-05,Eastborough,37.0,1.0,0.0,22.72,74.21,2200
2023-02-05,Westridge,27.0,1.0,0.0,20.8,82.33,1200
2023-02-06,Northwood,37.0,1.0,0.0,24.44,78.18,1500
2023-02-06,Southcreek,43.0,2.0,0.0,15.97,71.48,800
2023-02-06,Eastborough,32.0,2.0,0.0,22.01,78.36,2200
2023-02-06,Westridge,26.0,1.0,0.0,20.52,85.49,1200
2023-02-07,Northwood,45.0,3.0,0.0,26.09,82.68,1500
2023-02-07,Southcreek,26.0,1.0,0.0,17.17,81.73,800
2023-02-07,Eastborough,34.0,1.0,0.0,21.87,77.86,2200
2023-02-07,Westridge,31.0,1.0,0.0,20.2,73.51,1200
2023-02-08,Northwood,42.0,3.0,0.0,25.8,74.48,1500
2023-02-08,Southcreek,41.0,2.0,0.0,18.82,85.64,800
2023-02-08,Eastborough,34.0,1.0,0.0,21.49,76.0,2200
2023-02-08,Westridge,27.0,1.0,0.0,19.13,80.51,1200
2023-02-09,Northwood,37.0,2.0,0.0,24.84,76.11,1500
2023-02-09,Southcreek,36.0,1.0,0.0,15.07,82.36,800
2023-02-09,Eastborough,39.0,2.0,0.0,19.68,72.5,2200
2023-02-09,Westridge,33.0,1.0,0.0,21.97,81.8,1200
2023-02-10,Northwood,39.0,2.0,0.0,29.7,80.93,1500
2023-02-10,Southcreek,25.0,0.0,0.0,15.43,80.54,800
2023-02-10,Eastborough,51.0,3.0,0.0,17.96,84.06,2200
2023-02-10,Westridge,27.0,1.0,0.0,24.83,79.58,1200
2023-02-11,Northwood,33.0,2.0,0.0,26.65,73.57,1500
2023-02-11,Southcreek,44.0,1.0,0.0,20.07,75.5,800
2023-02-11,Eastborough,29.0,2.0,0.0,24.14,74.74,2200
2023-02-11,Westridge,49.0,2.0,0.0,23.66,80.46,1200
2023-02-12,Northwood,32.0,2.0,0.0,25.84,77.83,1500
2023-02-12,Southcreek,39.0,1.0,0.0,19.77,80.54,800
2023-02-12,Eastborough,36.0,2.0,0.0,19.83,86.81,2200
2023-02-12,Westridge,37.0,1.0,0.0,22.03,68.54,1200
2023-02-13,Northwood,30.0,1.0,0.0,30.42,74.26,1500
2023-02-13,Southcreek,42.0,3.0,0.0,16.67,76.25,800
2023-02-13,Eastborough,44.0,2.0,0.0,20.26,77.16,2200
2023-02-13,Westridge,36.0,1.0,0.0,22.0,79.85,1200
2023-02-14,Northwood,53.0,2.0,0.0,24.28,69.07,1500
2023-02-14,Southcreek,62.0,3.0,0.0,17.85,80.61,800
2023-02-14,Eastborough,36.0,1.0,0.0,23.8,80.24,2200
2023-02-14,Westridge,43.0,1.0,0.0,20.7,73.15,1200
2023-02-15,Northwood,36.0,2.0,0.0,26.61,75.57,1500
2023-02-15,Southcreek,27.0,0.0,0.0,16.26,82.77,800
2023-02-15,Eastborough,37.0,2.0,0.0,24.68,79.45,2200
2023-02-15,Westridge,27.0,1.0,0.0,20.21,79.14,1200
2023-02-16,Northwood,37.0,2.0,0.0,28.14,71.59,1500
2023-02-16,Southcreek,36.0,2.0,0.0,18.4,78.53,800
2023-02-16,Eastborough,31.0,1.0,0.0,24.52,66.29,2200
2023-02-16,Westridge,29.0,1.0,0.0,21.76,75.07,1200
2023-02-17,Northwood,36.0,1.0,0.0,30.4,78.79,1500
2023-02-17,Southcreek,37.0,2.0,0.0,17.92,75.48,800
2023-02-17,Eastborough,30.0,0.0,0.0,21.0,79.35,2200
2023-02-17,Westridge,35.0,2.0,0.0,22.09,71.9,1200
2023-02-18,Northwood,33.0,2.0,0.0,27.29,80.2,1500
2023-02-18,Southcreek,33.0,2.0,0.0,18.2,85.84,800
2023-02-18,Eastborough,21.0,1.0,0.0,20.33,81.4,2200
2023-02-18,Westridge,40.0,2.0,0.0,22.61,82.46,1200
2023-02-19,Northwood,38.0,2.0,0.0,29.59,73.25,1500
2023-02-19,Southcreek,35.0,2.0,0.0,20.86,80.23,800
2023-02-19,Eastborough,35.0,2.0,0.0,22.23,76.74,2200
2023-02-19,Westridge,40.0,2.0,0.0,21.72,73.06,1200
2023-02-20,Northwood,36.0,1.0,0.0,24.78,74.84,1500
2023-02-20,Southcreek,34.0,2.0,0.0,18.12,72.63,800
2023-02-20,Eastborough,36.0,1.0,0.0,19.67,77.72,2200
2023-02-20,Westridge,43.0,2.0,0.0,25.92,80.87,1200
2023-02-21,Northwood,38.0,1.0,0.0,27.96,77.1,1500
2023-02-21,Southcreek,40.0,2.0,0.0,19.71,77.69,800
2023-02-21,Eastborough,38.0,1.0,0.0,23.02,75.61,2200
2023-02-21,Westridge,20.0,0.0,0.0,24.74,78.39,1200
2023-02-22,Northwood,44.0,2.0,0.0,26.57,77.56,1500
2023-02-22,Southcreek,38.0,1.0,0.0,19.97,81.75,800
2023-02-22,Eastborough,31.0,1.0,0.0,24.47,82.67,2200
2023-02-22,Westridge,38.0,2.0,0.0,20.44,73.16,1200
2023-02-23,Northwood,39.0,1.0,0.0,28.03,75.54,1500
2023-02-23,Southcreek,33.0,1.0,0.0,19.41,74.31,800
2023-02-23,Eastborough,39.0,2.0,0.0,20.76,84.64,2200
2023-02-23,Westridge,42.0,1.0,0.0,19.06,79.72,1200
2023-02-24,Northwood,22.0,1.0,0.0,27.54,81.35,1500
2023-02-24,Southcreek,44.0,2.0,0.0,18.62,78.18,800
2023-02-24,Eastborough,30.0,1.0,0.0,22.43,77.73,2200
2023-02-24,Westridge,35.0,1.0,0.0,21.92,82.72,1200
2023-02-25,Northwood,35.0,2.0,0.0,28.79,78.48,1500
2023-02-25,Southcreek,37.0,2.0,0.0,19.4,61.0,800
2023-02-25,Eastborough,44.0,1.0,0.0,24.94,80.47,2200
2023-02-25,Westridge,38.0,2.0,0.0,24.82,79.47,1200
2023-02-26,Northwood,40.0,1.0,0.0,26.55,72.18,1500
2023-02-26,Southcreek,32.0,1.0,0.0,19.63,80.25,800
2023-02-26,Eastborough,23.0,1.0,0.0,21.43,79.71,2200
2023-02-26,Westridge,28.0,2.0,0.0,26.03,69.02,1200
2023-02-27,Northwood,40.0,1.0,0.0,30.88,79.45,1500
2023-02-27,Southcreek,27.0,1.0,0.0,17.36,76.18,800
2023-02-27,Eastborough,25.0,1.0,0.0,23.72,79.54,2200
2023-02-27,Westridge,26.0,1.0,0.0,23.93,76.38,1200
2023-02-28,Northwood,49.0,1.0,0.0,30.35,80.1,1500
2023-02-28,Southcreek,74.0,2.0,0.0,18.5,78.28,800
2023-02-28,Eastborough,27.0,1.0,0.0,23.2,76.9,2200
2023-02-28,Westridge,33.0,1.0,0.0,20.39,79.36,1200
2023-03-01,Northwood,6.0,0.0,0.0,30.84,70.62,1500
2023-03-01,Southcreek,23.0,1.0,0.0,18.67,70.11,800
2023-03-01,Eastborough,11.0,0.0,0.0,21.6,87.19,2200
2023-03-01,Westridge,26.0,1.0,0.0,25.02,78.71,1200
2023-03-02,Northwood,14.0,0.0,0.0,29.86,75.48,1500
2023-03-02,Southcreek,20.0,0.0,0.0,19.0,75.23,800
2023-03-02,Eastborough,19.0,1.0,0.0,24.16,66.97,2200
2023-03-02,Westridge,4.0,0.0,0.0,23.32,83.28,1200
2023-03-03,Northwood,21.0,1.0,0.0,29.22,68.52,1500
2023-03-03,Southcreek,8.0,0.0,0.0,16.54,76.06,800
2023-03-03,Eastborough,25.0,1.0,0.0,21.73,73.65,2200
2023-03-03,Westridge,17.0,1.0,0.0,22.09,85.27,1200
2023-03-04,Northwood,25.0,0.0,0.0,28.85,73.77,1500
2023-03-04,Southcreek,21.0,0.0,0.0,15.99,73.34,800
2023-03-04,Eastborough,11.0,0.0,0.0,24.77,75.62,2200
2023-03-04,Westridge,17.0,0.0,0.0,22.56,77.11,1200
2023-03-05,Northwood,18.0,1.0,0.0,26.33,81.94,1500
2023-03-05,Southcreek,16.0,0.0,0.0,16.42,77.54,800
2023-03-05,Eastborough,22.0,1.0,0.0,23.79,72.73,2200
2023-03-05,Westridge,10.0,0.0,0.0,22.62,81.13,1200
2023-03-06,Northwood,4.0,0.0,0.0,31.01,64.52,1500
2023-03-06,Southcreek,20.0,0.0,0.0,19.02,69.6,800
2023-03-06,Eastborough,9.0,0.0,0.0,25.37,84.25,2200
2023-03-06,Westridge,7.0,0.0,0.0,23.62,78.97,1200
2023-03-07,Northwood,26.0,1.0,0.0,29.8,61.19,1500
2023-03-07,Southcreek,13.0,0.0,0.0,15.51,75.81,800
2023-03-07,Eastborough,15.0,0.0,0.0,23.1,70.83,2200
2023-03-07,Westridge,25.0,1.0,0.0,25.43,68.47,1200
2023-03-08,Northwood,19.0,1.0,0.0,27.18,77.97,1500
2023-03-08,Southcreek,16.0,0.0,0.0,19.31,70.01,800
2023-03-08,Eastborough,19.0,1.0,0.0,26.94,77.31,2200
2023-03-08,Westridge,5.0,0.0,0.0,28.13,89.6,1200
2023-03-09,Northwood,16.0,1.0,0.0,30.99,75.05,1500
2023-03-09,Southcreek,15.0,0.0,0.0,20.09,77.79,800
2023-03-09,Eastborough,16.0,0.0,0.0,25.55,77.37,2200
2023-03-09,Westridge,18.0,1.0,0.0,21.17,72.11,1200
2023-03-10,Northwood,12.0,0.0,0.0,27.55,79.04,1500
2023-03-10,Southcreek,15.0,0.0,0.0,18.54,74.45,800
2023-03-10,Eastborough,15.0,0.0,0.0,26.5,71.06,2200
2023-03-10,Westridge,8.0,0.0,0.0,24.6,76.25,1200
2023-03-11,Northwood,15.0,1.0,0.0,26.69,68.76,1500
2023-03-11,Southcreek,4.0,0.0,0.0,18.88,68.96,800
2023-03-11,Eastborough,7.0,0.0,0.0,22.48,73.16,2200
2023-03-11,Westridge,5.0,0.0,0.0,22.89,74.46,1200
2023-03-12,Northwood,21.0,1.0,0.0,32.08,77.47,1500
2023-03-12,Southcreek,11.0,0.0,0.0,21.43,74.77,800
2023-03-12,Eastborough,24.0,0.0,0.0,25.08,78.65,2200
2023-03-12,Westridge,19.0,1.0,0.0,25.54,73.1,1200
2023-03-13,Northwood,16.0,1.0,0.0,27.42,73.14,1500
2023-03-13,Southcreek,9.0,0.0,0.0,18.58,65.22,800
2023-03-13,Eastborough,25.0,1.0,0.0,27.22,70.74,2200
2023-03-13,Westridge,13.0,0.0,0.0,22.89,,1200
2023-03-14,Northwood,23.0,1.0,0.0,32.49,75.59,1500
2023-03-14,Southcreek,43.0,2.0,0.0,17.98,73.28,800
2023-03-14,Eastborough,19.0,0.0,0.0,29.24,74.61,2200
2023-03-14,Westridge,21.0,1.0,0.0,23.3,81.69,1200
2023-03-15,Northwood,11.0,0.0,0.0,31.28,73.05,1500
2023-03-15,Southcreek,11.0,0.0,0.0,17.05,76.99,800
2023-03-15,Eastborough,18.0,1.0,0.0,25.24,71.27,2200
2023-03-15,Westridge,9.0,0.0,0.0,21.86,66.31,1200
2023-03-16,Northwood,20.0,1.0,0.0,29.1,73.19,1500
2023-03-16,Southcreek,9.0,0.0,0.0,19.96,87.69,800
2023-03-16,Eastborough,16.0,1.0,0.0,25.58,83.04,2200
2023-03-16,Westridge,5.0,0.0,0.0,23.78,71.29,1200
2023-03-17,Northwood,15.0,0.0,0.0,31.49,69.05,1500
2023-03-17,Southcreek,3.0,0.0,0.0,16.9,69.77,800
2023-03-17,Eastborough,8.0,0.0,0.0,20.9,68.25,2200
2023-03-17,Westridge,17.0,1.0,0.0,22.63,73.02,1200
2023-03-18,Northwood,11.0,0.0,0.0,28.88,76.72,1500
2023-03-18,Southcreek,10.0,0.0,0.0,24.94,66.87,800
2023-03-18,Eastborough,17.0,1.0,0.0,28.22,72.16,2200
2023-03-18,Westridge,19.0,0.0,0.0,23.1,72.11,1200
2023-03-19,Northwood,13.0,0.0,0.0,29.86,76.5,1500
2023-03-19,Southcreek,12.0,0.0,0.0,22.14,69.8,800
2023-03-19,Eastborough,12.0,0.0,0.0,22.36,69.24,2200
2023-03-19,Westridge,5.0,0.0,0.0,26.04,66.57,1200
2023-03-20,Northwood,17.0,0.0,0.0,31.12,74.38,1500
2023-03-20,Southcreek,25.0,0.0,0.0,22.59,75.58,800
2023-03-20,Eastborough,22.0,1.0,0.0,26.66,81.14,2200
2023-03-20,Westridge,11.0,0.0,0.0,24.04,65.07,1200
2023-03-21,Northwood,26.0,1.0,0.0,32.85,68.64,1500
2023-03-21,Southcreek,21.0,1.0,0.0,17.46,67.45,800
2023-03-21,Eastborough,14.0,0.0,0.0,22.08,74.69,2200
2023-03-21,Westridge,21.0,0.0,0.0,22.8,62.11,1200
2023-03-22,Northwood,12.0,0.0,0.0,29.32,70.11,1500
2023-03-22,Southcreek,15.0,0.0,0.0,21.36,74.82,800
2023-03-22,Eastborough,6.0,0.0,0.0,24.36,73.42,2200
2023-03-22,Westridge,20.0,0.0,0.0,26.09,78.4,1200
2023-03-23,Northwood,19.0,1.0,0.0,32.06,72.83,1500
2023-03-23,Southcreek,23.0,1.0,0.0,20.87,64.59,800
2023-03-23,Eastborough,16.0,0.0,0.0,26.64,81.36,2200
2023-03-23,Westridge,14.0,1.0,0.0,28.8,71.6,1200
2023-03-24,Northwood,13.0,0.0,0.0,28.93,74.23,1500
2023-03-24,Southcreek,9.0,0.0,0.0,23.01,75.69,800
2023-03-24,Eastborough,10.0,0.0,0.0,24.31,73.35,2200
2023-03-24,Westridge,14.0,0.0,0.0,24.75,69.16,1200
2023-03-25,Northwood,4.0,0.0,0.0,31.17,74.39,1500
2023-03-25,Southcreek,8.0,0.0,0.0,20.43,75.35,800
2023-03-25,Eastborough,25.0,0.0,0.0,23.43,70.36,2200
2023-03-25,Westridge,5.0,0.0,0.0,24.8,73.64,1200
2023-03-26,Northwood,6.0,0.0,0.0,27.86,67.22,1500
2023-03-26,Southcreek,10.0,0.0,0.0,19.12,66.44,800
2023-03-26,Eastborough,18.0,0.0,0.0,23.25,69.28,2200
2023-03-26,Westridge,17.0,0.0,0.0,24.75,62.19,1200
2023-03-27,Northwood,14.0,0.0,0.0,28.86,79.6,1500
2023-03-27,Southcreek,14.0,0.0,0.0,20.75,61.26,800
2023-03-27,Eastborough,19.0,1.0,0.0,22.15,77.14,2200
2023-03-27,Westridge,13.0,0.0,0.0,28.08,69.53,1200
2023-03-28,Northwood,44.0,2.0,0.0,33.23,72.21,1500
2023-03-28,Southcreek,25.0,0.0,0.0,18.76,68.04,800
2023-03-28,Eastborough,12.0,0.0,0.0,25.41,67.14,2200
2023-03-28,Westridge,13.0,0.0,0.0,22.77,74.14,1200
2023-03-29,Northwood,14.0,0.0,0.0,32.44,60.12,1500
2023-03-29,Southcreek,7.0,0.0,0.0,18.11,67.22,800
2023-03-29,Eastborough,11.0,0.0,0.0,25.9,67.93,2200
2023-03-29,Westridge,24.0,0.0,0.0,25.27,59.91,1200
2023-03-30,Northwood,4.0,0.0,0.0,33.44,70.16,1500
2023-03-30,Southcreek,9.0,0.0,0.0,16.96,74.14,800
2023-03-30,Eastborough,21.0,1.0,0.0,25.71,73.81,2200
2023-03-30,Westridge,30.0,0.0,0.0,25.19,76.87,1200
2023-03-31,Northwood,17.0,1.0,0.0,29.87,69.63,1500
2023-03-31,Southcreek,17.0,0.0,0.0,18.22,74.99,800
2023-03-31,Eastborough,13.0,0.0,0.0,24.54,75.2,2200
2023-03-31,Westridge,18.0,0.0,0.0,25.65,64.48,1200
2023-04-01,Northwood,13.0,0.0,0.0,26.74,72.38,1500
2023-04-01,Southcreek,25.0,0.0,0.0,18.1,78.78,800
2023-04-01,Eastborough,19.0,0.0,0.0,22.79,67.4,2200
2023-04-01,Westridge,8.0,0.0,0.0,21.36,71.39,1200
2023-04-02,Northwood,8.0,0.0,0.0,33.97,74.43,1500
2023-04-02,Southcreek,13.0,0.0,0.0,20.53,76.23,800
2023-04-02,Eastborough,13.0,0.0,0.0,25.19,77.45,2200
2023-04-02,Westridge,18.0,0.0,0.0,25.67,69.09,1200
2023-04-03,Northwood,11.0,0.0,0.0,33.77,72.13,1500
2023-04-03,Southcreek,6.0,0.0,0.0,17.42,62.71,800
2023-04-03,Eastborough,10.0,0.0,0.0,19.33,75.7,2200
2023-04-03,Westridge,15.0,0.0,0.0,25.38,71.94,1200
2023-04-04,Northwood,2.0,0.0,0.0,28.67,69.82,1500
2023-04-04,Southcreek,19.0,0.0,0.0,21.21,70.31,800
2023-04-04,Eastborough,20.0,1.0,0.0,20.89,71.65,2200
2023-04-04,Westridge,19.0,0.0,0.0,28.46,65.24,1200
2023-04-05,Northwood,9.0,0.0,0.0,29.19,68.89,1500
2023-04-05,Southcreek,12.0,0.0,0.0,20.43,72.82,800
2023-04-05,Eastborough,25.0,1.0,0.0,28.62,70.53,2200
2023-04-05,Westridge,13.0,0.0,0.0,24.61,70.9,1200
2023-04-06,Northwood,9.0,0.0,0.0,30.25,68.71,1500
2023-04-06,Southcreek,19.0,1.0,0.0,19.71,72.08,800
2023-04-06,Eastborough,26.0,1.0,0.0,27.11,62.72,2200
2023-04-06,Westridge,15.0,0.0,0.0,24.36,63.14,1200
2023-04-07,Northwood,24.0,0.0,0.0,33.26,71.47,1500
2023-04-07,Southcreek,19.0,0.0,0.0,16.13,75.6,800
2023-04-07,Eastborough,4.0,0.0,0.0,27.94,73.77,2200
2023-04-07,Westridge,7.0,0.0,0.0,24.75,66.0,1200
2023-04-08,Northwood,11.0,0.0,0.0,28.14,54.31,1500
2023-04-08,Southcreek,11.0,0.0,0.0,22.59,70.41,800
2023-04-08,Eastborough,15.0,0.0,0.0,23.54,66.89,2200
2023-04-08,Westridge,17.0,1.0,0.0,22.93,65.08,1200
2023-04-09,Northwood,18.0,1.0,0.0,30.94,63.15,1500
2023-04-09,Southcreek,15.0,0.0,0.0,21.7,77.82,800
